chunk_id,raw_text,clean_text,section_label,orientation,sdg_labels,sdg_confidence,issue_frame,issue_frame_confidence
0,"Overview
Weaving a Sustainable Future Together
Sustainability is like weaving, pooling people's collective strengths
and consolidating resources
Weaving a harmonious, symbiotic world by adopting a development
model focused on the common good
Sustainability also connects people in rural and urban areas, fostering
an exchange of mutual trust and mutual assistance
TSMC enables innovation and invites partners from all walks of life to
weave a web of sustainability
Through technology and collaboration
Realizing co-prosperity between people and nature as well the society
Building on the foundation of innovative vertical applications, TSMC
aspires to create a horizontal expansion of the value chain
Ensuring the resilience, breadth, and longevity of the sustainability",weave sustainable future weave pool people collective strength consolidate resource weave harmonious symbiotic world adopt development model focus common good connect people rural urban area foster exchange mutual trust mutual assistance enable innovation invite partner walk life weave web technology collaboration realize prosperity people society building foundation innovative vertical application aspire create horizontal expansion chain ensure resilience breadth longevity,social,people_centric,unclassified,0.0,innovation,1.0
1,"2022 Sustainability Report
Letter from the ESG Steering Committee Chairperson
Over the past year, the world has faced numerous economic, social and geopolitical is diverse, equal, and inclusive (DEI) and promotes the integration of global
changes, including uncertainties in globalization and free trade, lockdowns caused talents, and we require our supply chain partners to follow the same standards.
by the COVID-19 pandemic, the war in Ukraine, global transportation bottlenecks, At the same time, we continue to deepen our connection with the society and
and inflationary pressures. This has tested the resilience of the global supply chain wholeheartedly support global STEM education. Through the TSMC Education
and the adaptability of businesses. As a responsible global corporate citizen, TSMC and Culture Foundation and the TSMC Charity Foundation, we deepen community
has accelerated the adoption of ESG (Environmental, Social, and Governance) relations, care for the disadvantaged, and preserve national art and culture, laying
initiatives in its operations and industrial value chain, and continues to inject a solid foundation for social progress with common values.
positive energy into society.
In 2022, we released the UN SDGs Action Report for the first time to disclose the
Prospering with the natural environment is the cornerstone of TSMC's sustainable company's SDGs action plan and progress. We also explained the company's
operations, and a green and low-carbon supply chain is an important part of our management policy on major issues with our Materiality Analysis Report to
2050 net-zero emissions blueprint. As an industry leader, TSMC uses its green enhance the transparency of sustainable information disclosure. In order to make
influence to continuously work with suppliers to deepen overall low-carbon the Board of Directors more comprehensive and transparent and achieve better
management. By providing suppliers with guidance on carbon inventory, energy corporate governance, we also prepared for the establishment of the Board's
conservation, and carbon reduction, we encourage them to adopt carbon capture Nominating, Corporate Governance and Sustainability Committee, which was
equipment and reduce indirect carbon emissions in the value chain. In 2022, approved in February 2023, strengthening the effectiveness of its sustainability
TSMC was again selected by the Carbon Disclosure Project (CDP) as a Supplier governance. The Board of Directors also decided to change the Audit Committee
Engagement Leader, and we continued to drive the industry towards low-carbon to the Audit and Risk Committee and the Compensation Committe to the
Reclaimed Water Plant started operations, and our Zero-Waste Manufacturing its supervision and review responsibilities, making the corporate governance
Center is expected to start operation in 2023. At our Arizona fab, we also plan structure more robust.
to build an industrial recycled water plant to gradually achieve near zero liquid
discharge, advancing toward our goal of circular economy. We continue to make We have a deep understanding of TSMC's key position in the global semiconductor
every effort to minimize environmental externalities through prudent decision- industry and its influence on many economies, and are keenly aware of our
making and coordinated global action on four major issues: climate and energy, urgent responsibilities in sustainability that we shoulder as a corporate citizen.
water stewardship, circular resources, and air pollution control. As TSMC's global business expands, we will deepen our partnership with
stakeholders including employees, public associations, communities, investors
As the leading provider of semiconductor process technology and manufacturing and shareholders, and our supply chain and customers, listen to the voices of all
services, TSMC uses the power of semiconductor innovation to make products parties, and open a new chapter of sustainable development together.
stronger, smarter, safer, more energy efficient, and more advanced to enrich
people's lives and empower society for the common good. I am very proud of
TSMC's employees across the company who work hard for this mission. Guided
by our Human Rights Policy, TSMC continues to create a working environment
that respects human rights. This means we provide a dignified workplace that Mark Liu
Chairman and ESG Steering Committee Chairperson",letter steering committee past world face numerous economic social geopolitical diverse equal inclusive dei promote integration change uncertainty globalization free trade lockdown cause talent require supply chain partner follow standard covid-19 pandemic war ukraine transportation bottleneck time continue deepen connection society inflationary pressure test resilience supply chain support stem education education adaptability responsible corporate citizen culture foundation charity foundation deepen community accelerate adoption environmental social governance relation care disadvantaged preserve national art culture lay initiative industrial chain continue inject solid foundation social progress common positive energy society release sdgs action time disclose prospering natural environment cornerstone sustainable sdgs action plan progress explain green low carbon supply chain important management policy major issue materiality analysis net emission blueprint industry leader use green enhance transparency sustainable disclosure order influence work supplier deepen overall low carbon board director comprehensive transparent achieve well management provide supplier guidance carbon inventory energy corporate governance prepare establishment board conservation carbon reduction encourage adopt carbon capture nominate corporate governance committee equipment reduce indirect carbon emission chain approve february strengthen effectiveness select carbon disclosure project cdp supplier governance board director decide change audit committee engagement leader continue drive industry low carbon audit risk committee compensation committe reclaim water plant start waste manufacture supervision review responsibility make corporate governance center expect start arizona plan structure robust build industrial recycle water plant achieve liquid discharge advance goal circular economy continue deep understanding key position effort minimize environmental externality prudent decision- industry influence economy aware making coordinate action major issue climate energy urgent responsibility shoulder corporate citizen water stewardship circular resource air pollution control expand deepen partnership stakeholder employee public association communitie investor lead provider process technology manufacturing shareholder supply chain customer listen voice service use power innovation product party open new sustainable development strong safe energy efficient advanced enrich people life empower society common good proud employee work mission guide human right policy continue create work environment respect human right mean provide dignified workplace mark liu chairman steering committee,environment,people_centric,"SDG17_partnership,SDG6_water",0.4737,environment,0.3333
2,"2022 Sustainability Report
Letter from the ESG Committee Chairperson
Looking back on 2022, just as the COVID-19 pandemic showed signs of easing and human rights issues was completed in 2022, with the establishment of a trans-
people could see recovery on the horizon, geopolitical conflict threw the world organizational human rights working group and due diligence scheduled for 2023.
into disarray amidst systemic risks from crises in energy, food, human rights, The subsequent promotion of preventive, mitigation and remedial measures as
and environmental damage. Fortunately, substantive progress was achieved at well as related education and training will ensure human rights protection from a
the 27th Conference of the Parties of the UNFCCC (COP 27) and the 15th UN stakeholder perspective. We also founded an Employee Resource
Biodiversity Conference (COP 15), so that we were able to continue forwards into Group (ERG) primarily aimed at women, and a new dedicated ERG was set up for
an inclusive and sustainable future. foreign employees to build employee cohesion and promote career development.
We also completed the first safety culture investigation, and introduced free
Facing a volatile economic environment, TSMC focused on its core competitive health check-ups on contractor sites to build an inclusive workplace.
advantages of Technology Leadership, Manufacturing Excellence, and Customer
Trust. Strong demand from 5G cellular network and high-performance computing Upholding the spirit of Leaving No One Behind, TSMC actively works to achieve UN
applications enabled our total wafer shipments in 2022 to reach 15.3 million 12- Sustainable Development Goals (SDGs). In addition to continuously expanding the
inch equivalent wafers, and realize 12,698 product innovations for customers. University Collaboration Programs, cultivating semiconductor talents, and helping
We also delivered a 13th consecutive year of record revenue, driving sustainable to meet shortfalls in emergency assistance resources, we also worked to harness
development through profitable growth. the power of employee volunteers for youth and rural empowerment, promotion
of the arts, and assisting the disadvantaged through the TSMC Education and
TSMC responded to the call to action at COP 27 by making carbon reduction Culture Foundation and TSMC Charity Foundation. Using the Business for Societal
initiatives our top priority. During the course of 2022, we successfully implemented Impact (B4SI) framework as a reference, we also evaluated the overall benefits
823 energy-efficiency, water conservation, and waste reduction innovation of invested resources and identified previously overlooked social needs, so that
projects. A target of Net Zero Emissions by 2050 was also set with annual progress TSMC can become a force for positive change.
reviews planned to dynamically adjust and set even more ambitious carbon
reduction pathways. We also drew up the Carbon Credits Quality Standards for TSMC is the only semiconductor company in the world to be included in the Dow
Voluntary Emissions Reductions based on international guidelines and industry Jones Sustainability Indices for 22 consecutive years. Nevertheless, we don't stop
benchmarks to ensure that carbon credits are not obtained from sensitive there. With the publication of the annual TSMC Sustainability Report along with
regions. Furthermore, we leveraged our industry leadership to invite suppliers the Environmental Profit and Loss (EP&L) Report, TCFD Report, UN SDGs Action
to participate in the CDP Supply Chain Program. The program complements Report, and Materiality Analysis Report, we continue to adopt global trends in
suppliers' existing carbon reduction actions to help us mitigate the global climate sustainability management, and transparently share TSMC's sustainability journey
crisis together. In light of the close association between Climate Change and and accomplishments with stakeholders. Looking ahead, TSMC will embrace the
Biodiversity, we issued the Biodiversity Statement for the first time in 2022 as a ESG vision of ""Uplift Society"" to bring about positive change.
climate citizen of the new era. The statement commits TSMC to achieving Zero
Deforestation, No Net Loss of biodiversity, and Net Positive Impact. Achieving
Water Positivity was also set as a future strategy to enhance our climate resilience
Lora Ho
as part of a multi-pronged approach.
Senior Vice President
and ESG Committee
In addition to our environmental commitments, TSMC also works tirelessly to build
Chairperson
a diverse, equal, and inclusive working environment. The first survey into salient 5",letter committee look covid-19 pandemic show sign ease human right issue complete establishment trans- people recovery horizon geopolitical conflict throw world organizational human right working diligence schedule disarray systemic risk crisis energy food human right subsequent promotion preventive mitigation remedial measure environmental damage substantive progress achieve education training ensure human right protection 27th conference party unfccc cop 15th stakeholder perspective found employee resource biodiversity conference cop able continue erg aim woman new dedicated erg set inclusive sustainable future foreign employee build employee cohesion promote career development complete safety culture investigation introduce free face volatile economic environment focus core competitive health check contractor site build inclusive workplace advantage technology leadership manufacturing excellence customer trust strong demand cellular network high performance computing uphold spirit leave work achieve application enable total wafer shipment reach sustainable development goal sdgs addition expand inch equivalent wafer realize product innovation customer university collaboration program cultivate talent help deliver 13th consecutive record revenue drive sustainable meet shortfall emergency assistance resource work harness development profitable growth power employee volunteer youth rural empowerment promotion art assist disadvantaged education respond action cop make carbon reduction culture foundation charity foundation societal initiative priority course implement impact framework reference evaluate overall benefit energy efficiency water conservation waste reduction innovation invest resource identify overlook social need project target net emission set progress force positive change review plan adjust set ambitious carbon reduction pathway draw carbon credit quality standard world dow voluntary emission reduction base international guideline industry jones consecutive don stop benchmark ensure carbon credit obtain sensitive publication region leverage industry leadership invite supplier environmental profit loss tcfd sdgs action participate cdp supply chain program program complement materiality analysis continue adopt trend supplier exist carbon reduction action help mitigate climate management share journey crisis light close association climate change accomplishment stakeholder look ahead embrace biodiversity issue biodiversity statement time vision uplift society bring positive change climate citizen new era statement commit achieve deforestation net loss biodiversity net positive impact achieve water positivity set future strategy enhance climate resilience lora multi pronged approach senior vice president committee addition environmental commitment work build diverse equal inclusive working environment survey salient,environment,action_oriented,SDG13_climate,0.3478,environment,0.3333
3,"2022 Sustainability Report
About TSMC
In the face of global climate change and geopolitical tensions,
TSMC is committed to innovation to improve the well-being Headquarter
of human life. Upholding the three competitive advantages of Hsinchu Science
Technology Leadership, Manufacturing Excellence, and Customer Park
Trust, TSMC continues to fulfill its mission as a trusted technology
and capacity provider to the global logic IC industry. In 2022,
TSMC's consolidated income reached NT$2,263.89 billion,
Founded in
achieving a record high for the 13th consecutive year. In addition
to seeking the greatest achievements in its core business, TSMC
adheres to its philosophy of responsible business, working
together with employees, shareholders/investors, customers,
suppliers/contractors, government/industry associations,
Number of Employees
and society to strive for excellence in the three dimensions of 73,677
economy, environment and society. TSMC is determined to be a
force that uplifts society and creates sustainable value.
$1,016.53 13 Revenue Percentage by Customer Revenue Percentage by Product
Billion Consecutive Years
HQ Location Platform
Net income; 70.4% increase from 2021 (NT$) Record high revenue
15.3 53
Million % 11% 5%
12-inch equivalent wafers total wafer Of TSMC's wafer revenue came from advanced
shipments reached manufacturing processes with geometries of 7nm
11% 9%
and smaller, up three percentage points from 2021 68%
532 30
Customers %
Needs were satisfied through 288 distinct Of worldwide semiconductor output value
North America Asia Pacific excluding Japan and China High-performance Computing Smartphones
process technologies (excluding memory) generated up four
China Europe, Middle East, and Africa Japan Internet of Things Automotive Electronics
percentage points from 2021
Consumer Electronics Other Products
TSMC has fabs, subsidiaries or offices in Taiwan, North America, Europe, Japan, China, South Korea, and other countries to offer real-time services and technical support to customers around the world",face climate change geopolitical tension commit innovation improve headquarter human life uphold competitive advantage science technology leadership manufacturing excellence customer park trust continue fulfill mission trust technology capacity provider logic industry consolidated income reach found achieve record high 13th consecutive addition seek great achievement core adhere philosophy responsible work employee shareholder investor customer supplier contractor government industry association number employee society strive excellence dimension economy environment society determined force uplift society create sustainable revenue percentage customer revenue percentage product consecutive location platform net income increase record high revenue inch equivalent wafer total wafer wafer revenue come advanced shipment reach manufacturing process geometry small percentage point customer need satisfied distinct worldwide output north america asia pacific exclude japan china high performance computing smartphone process technology exclude memory generate china europe middle east africa japan internet thing automotive electronic percentage point consumer electronic product subsidiary office north america europe japan china south korea country offer real time service technical support customer world,environment,people_centric,unclassified,0.0,environment,0.2857
4,"2022 Sustainability Report
Innovation Value
Technology Development Benefits to Customer
Semiconductors power almost everything in daily life and have significantly changed Innovations for Sustainability
Focuses Product Innovation
the way people live and work in areas including communications, data processing,
agriculture, transportation, healthcare, education, clean energy, and more. Through TSMC continues to advance semiconductor manufacturing ● Continue to drive semiconductor ● Boost product computing power
its five technology platforms - High Performance Computing (HPC), Smartphone, technologies and services, enabling customers to unleash more s s c p a e l c in ia g lt f y o t r e b ch o n th o l l o o g g i i e c s and ● I e n ffi cr c e ie a n s c e y product energy
I c n u t s e t r o n m et e r o s f w Th it i h n g c s o m (Io p T re ), h A e u n t s o i m ve o a ti n v d e, c a o n m d p D e i t g it it iv a e l C lo o g n i s c u p m ro e c r e E s l s e c te tr c o h n n i o cs lo , g TS ie M s, C s p p e ro c v ia id lt e y s t p h r a o n d u 1 c 2 t , s 6 0 m 0 o c r h e i a p d in va n n o c v e a d ti , o c n a s p i a n b 2 le 0 , 2 in 2 t . e T l h lig e e se n t i , n e n n o e v r a g ti y o -e n ffi s m cie a n k t e , ● C te o c n h t n in o u lo e g t y o o e ff x e p r a in n g d s specialty ● Enable smaller form factors
technologies, IPs, and packaging and testing technologies to help them accelerate and safer, greatly increasing the quality of life and helping to ● Continue to advance and expand ●
P
fle
ro
x
v
ib
id
il
e
it y
greater chip design
TSMC 3DFabric™ technology
their product innovation and move society forward with technology. build a sustainable society based on the common good. offerings
Supercomputers, with powerful A smartphone is a now a PC in our Continued advancement of agricultural The global automotive industry focuses High-performance portable ultrasound
computing capabilities, are vital to pocket. It can overcome the limitations drone technology is a key to sustainable on the four major innovation trends scanners are becoming a common
powering digital transformation and the of time and distance to make work, agricultural development. GPS-fitted of connected, autonomous, shared, diagnostic tool. Unlike bulky traditional
digital economy in the era of 5G and AI. communication, entertainment, and drones with a variety of sensors can help and electric (CASE). Electric vehicles instruments, they are only the size of a
They rapidly process and analyse vast life more convenient, including video farmers to make timely adjustments to are powered by batteries and do not mobile phone, and feature faster and
amounts of data for a wide range of conferencing, online learning, banking, field management and improve farming emit harmful exhaust gases on the sharper imaging capabilities, which
applications such as accurate weather shopping, and travel booking, and efficiency and quality, as well as reduce road. This, combined with continued can help medical professionals around
forecasts and climate predictions, which telemedicine. waste. progress in advanced driver-assistance the globe save time in diagnosis and
helps protect us from the impact of systems (ADAS), creates a safer and treatment, and improve overall health
increasingly severe storms, floods and more environmentally-friendly driving care efficiency.
snow. experience.
Photo: Courtesy of Butterfly Network
Photo: Courtesy of Fujitsu and RIKEN",innovation technology development benefit customer power daily life change innovation focus product innovation way people live work area communication datum process agriculture transportation healthcare education clean energy continue advance manufacturing continue drive boost product computing power technology platform high performance compute hpc smartphone technology service enable customer unleash ffi product energy lig ffi cie specialty enable small form factor technology ips packaging testing technology help accelerate safe increase quality life help continue advance expand fle great chip design technology product innovation society technology build sustainable society base common good offering supercomputer powerful smartphone continued advancement agricultural automotive industry focus high performance portable ultrasound computing capability vital pocket overcome limitation drone technology key sustainable major innovation trend scanner common power digital transformation time distance work agricultural development gps fit connect autonomous share diagnostic tool bulky traditional digital economy era communication entertainment drone variety sensor help electric case electric vehicle instrument size process analyse vast life convenient video farmer timely adjustment power battery mobile phone feature amount datum wide range conference online learn banking field management improve farm emit harmful exhaust gas sharp imaging capability application accurate weather shopping travel booking efficiency quality reduce road combine continue help medical professional forecast climate prediction telemedicine waste progress advanced driver assistance globe save time diagnosis help protect impact system ada create safe treatment improve overall health severe storm flood friendly driving care efficiency snow experience photo courtesy butterfly network photo courtesy fujitsu riken,environment,action_oriented,SDG12_consumption,0.3,environment,0.3333
5,"Improve Enable 5G, artificial Make communication more Empower innovations for artificial Make vehicles, including hybrid/ Enable AI-powered smart
Quality of intelligence (AI), cloud, and effective and work, play, and intelligence of things (AIoT) and electrical cars, safer, smarter, devices
Life datacenters to transfer and learn anytime and anywhere accelerate digital transformation and greener
process vast amounts of data to realize more convenient and ●
Microcontroller Unit (MCU)
anywhere and anytime greener living and improve health ●
Baseband
care quality ● RF Transceivers
A
C
P
p
u
r
p
o
s
li
d
t
c
o
u
a
m
t
c
i
t
o
e
s
n
r
/
s
●
●
C
G
e
ra
n
p
tr
h
a
i
l
c
P
s
r
P
o
r
c
o
e
c
s
e
s
s
in
so
g
r
U
U
n
n
it
it
( C
(G
P
P
U
U
)
)
●
●
A
B
p
as
p
e
li
b
ca
a
t
n
io
d
n Processors (AP)
●
●
M
Ap
ic
p
r
l
o
ic
c
a
o
t
n
io
t
n
ro
P
ll
r
e
o
r
c
U
es
n
s
it
o
(
r
M
s
C
(A
U
P
)
)
●
●
M
Ba
ic
s
r
e
o
b
c
a
o
n
n
d
troller Unit (MCU) ●
●
W
CM
ir
O
el
S
e s
I
s
m
L
a
o
g
c
e
a l
S
A
e
r
n
e
s
a
o r
N
(
e
C
t
I
w
S
o
)
rks (WLAN)
●
Field Programmable Gate Array (FPGA)
●
RF Transceivers
●
Baseband
●
RF Transceivers ●
Near Field Communication (NFC)
●
Server CPU
●
Wireless Local Area Networks (WLAN)
●
RF Transceivers
●
Wireless Local Area Networks (WLAN) ●
Bluetooth
●
Artificial Intelligence/Machine Learning
●
CMOS Image Sensor (CIS)
●
Wireless Local Area Networks (WLAN)
●
CMOS Image Sensor (CIS) ●
Embedded Flash Memory
(AI/ML) Accelerator
●
Near Field Communication (NFC)
●
CMOS Image Sensors (CIS)
●
Near Field Communication (NFC) ● Power Management ICs
● Network Processing Unit (NPU) ● Bluetooth ● Near Field Communication (NFC) ● Radar ● T 8 i K m /4 in K g D C ig o i n ta tr l o T l V le ( r D s T (T V - ) C , 4 O K N S ) t f r o e r a S m m in a g rt
● High-speed Networking Chip, etc. ● Global Positioning Systems (GPS), etc. ● Bluetooth ● Ethernet Switches Set-top Box (STB) / Over-the-top (OTT)
●
Embedded Flash Memory
●
Power Management ICs, etc. services, Digital Single-lens Reflex
(DSLR) Devices,and so on
●
Radio Frequency Identification, (RFID) etc.
Technology High Performance Digital Consumer
Smartphone Internet of Things (IoT) Automotive
Platform Computing Electronics",improve enable artificial communication empower innovation artificial vehicle hybrid enable power smart quality intelligence cloud effective work play intelligence thing aiot electrical car safe smart device life datacenter transfer learn accelerate digital transformation greener process vast amount datum realize convenient microcontroller unit mcu greener living improve health baseband care quality transceiver processor troll unit mcu wlan field programmable gate array fpga transceiver baseband transceiver field communication server cpu wireless local area network wlan transceiver wireless local area network wlan bluetooth artificial intelligence machine learn cmos image sensor cis wireless local area network wlan cmos image sensor cis embed flash memory accelerator field communication cmos image sensor cis field communication power management ics network processing unit bluetooth field communication radar high speed network chip positioning system gps bluetooth ethernet switch set box ott embed flash memory power management ics service digital single lens reflex dslr devices radio frequency identification rfid technology high performance digital consumer smartphone internet thing iot automotive platform computing electronic,talent,action_oriented,unclassified,0.0,labor_talent,0.4
6,"2022 Sustainability Report
Sustainability at TSMC
Economic 5,472 Million 100 2.07 Trillion 1 12,698 Products
％
R&D expenditures Patent approval rate Output value (NT$) and Leading the world in Fabricated for customers
increased 22.5% compared in the U.S., better than 309,000 jobs generated volume production of through manufacturing
to 2021 (US$) any other top 10 patent in Taiwan 3nm process technology excellence
holders
Net Zero
Environmental Emissions 1 98.9 54.3 96
％ ％ ％
Overseas sites achieved S.T.S.P. Reclaimed Water Reduction rate of volatile The water pollution Waste recycling rate
net zero emissions in Plant commenced operation organic gases composite indicator achieved and only <1%
Scope 1 and 2 – the world's first industrial reached the 2030 goal of waste has been
reclaimed water plant for ahead of time sent to landfills for 13
advanced semiconductor consecutive years
processes
Social 2,518,073 239.5 Billion >6,800 1.779 Billion 2,291,030
People received employees' Total compensation Students around the Invested into social Beneficiaries of social
training and welfare for TSMC world participated in engagement (NT$) engagement programs
employees around the TSMC's diverse industry-
world, a 45% increase academia cooperation
from 2021 (NT$) programs",economic product expenditure patent approval rate output lead world fabricate customer increase compare well job generate volume production manufacturing patent process technology excellence holder net environmental emission overseas site achieve reclaim water reduction rate volatile water pollution waste recycling rate net emission plant commence organic gas composite indicator achieve scope world industrial reach goal waste reclaim water plant time send landfill advanced consecutive process social people receive employee total compensation student invest social beneficiary social training welfare world participate engagement engagement program employee diverse industry- world increase academia cooperation program,environment,people_centric,SDG6_water,0.25,environment,0.5
7,"Awards, Recognitions, and Ratings
ISS ESG World Benchmarking Alliance (WBA) Alliance for Water Stewardship (AWS)
""Prime"" Rated by ISS ESG SDG2000 The 2,000 Most Influential Companies ""Platinum"" Class Certification with the
‒
Dow Jones Corporate Rating Highest Score for the 3rd consecutive year
Sustainability Indices (DJSI) MSCI ESG Indexes
Dow Jones Sustainability MSCI ACWI ESG Leaders Index component
World Index for the 22nd MSCI ESG Research AAA Ratings FTSE4Good Index CDP CommonWealth Magazine
consecutive year ‒
MSCI ACWI SRI Index component FTSE4Good Emerging Index component 2022 CDP Supplier Engagement Leaderboard Excellence in Corporate
D Em ow er J g o i n n e g s M Su ar s k ta e i t n s a I b n i d li e ty x MSCI ACWI Islamic Index component FTSE4Good All-World Index component Water Security A Ratings S H o o c n ia o l r R ab e l s e p L o e n g s i i o b n ili t o y f A C w o a rp rd o r ‒ a te
MSCI Emerging Markets ESG Leaders Index FTSE4Good TIP Taiwan ESG Index component Climate Change A- Ratings Sustainability Top 100
Corporate Knights
●
2022 Global 100 Most Sustainable Corporations
The Asset ●
The Asset Triple A Country Awards for Sustainable Finance 2022: Best
Corporate Bond
Corporate Knights & As You Sow
●
2022 Carbon Clean 200TM List
Taiwan Stock Exchange ●
Top 5% in Corporate Governance Evaluation of Listed Companies for eight
consecutive years
Forbes
●
2022 World's Best Employers
FORTUNE ● 2022 World's Most Admired Companies ● Taiwan Top 10 Sustainability Exemplary Awards for seven consecutive years
●
Corporate Sustainability Report Awards
●
Most Honored Company (Technology/Semiconductors)
‒
All-Asia
●
Circular Economy Leadership Awards
Institutional Investor Magazine
●
B
se
e
l
s
l-
t
s
O
id
v
e
e
)
r
‒
a
A
ll
l
E
l-
S
A
G
si a
(Technology/Semiconductors)
‒
First Place (buy-side and
T E a n i e w r a g n y Institute of Sustainable ● ●
I
S
n
u
f
p
o
p
rm
ly
a
C
t
h
io
a
n
in
S
L
e
e
c
a
u
d
ri
e
ty
r s
L
h
e
i
a
p
d
A
e
w
rs
a
h
rd
ip
s
Awards
●
Growth Through Innovation Leadership Awards
Morningstar
●
The Best Sustainable Companies to Own in 2022
●
Sustainable Water Management Leadership Awards
●
Climate Leadership Awards
Sustainalytics ● Company ESG Risk Ratings: Low ESG Risk ‒ Semiconductor Industry ●
English Report
‒
Gold Award",awards recognition rating iss world benchmarking alliance wba alliance water stewardship prime rat iss sdg2000 influential platinum class certification dow jones corporate rating high score 3rd consecutive indice msci dow jones msci acwi leader component world 22nd msci research aaa rating cdp commonwealth magazine consecutive msci acwi sri component ftse4good emerge component cdp supplier engagement leaderboard excellence corporate msci acwi islamic component world component water security rating ili msci emerge market leader ftse4good tip component climate change rating corporate knight sustainable corporation asset asset country award sustainable finance good corporate bond corporate knight sow carbon clean 200tm list stock exchange corporate governance evaluation list consecutive forbe world good employer fortune world admired exemplary award consecutive corporate award honor technology asia circular economy leadership award institutional investor magazine technology place buy institute sustainable award growth innovation leadership award morningstar sustainable sustainable water management leadership award climate leadership awards sustainalytic risk rating low risk industry english gold award,environment,mixed,"SDG13_climate,SDG17_partnership",0.6,governance_risk,0.3636
8,"2022 Sustainability Report
Sustainable
Business Practices
ESG Implementation Framework 12
ESG Management Platform 13
Materiality Analysis and Stakeholder Engagement 17
Sustainability Impact 29
Carry Out the UN Sustainable Development Goals 35
An Innovation Pioneer 36
A Responsible Purchaser 74
A Practitioner of Green Power 92
An Admired Employer 134
Power to Change Society 180",sustainable practice implementation framework management platform materiality analysis stakeholder engagement impact carry sustainable development goal innovation pioneer responsible purchaser practitioner green power admired employer power change society,social,mixed,unclassified,0.0,innovation,0.6667
9,"2022 Sustainability Report
ESG Implementation Framework
With uplifting society as our vision, the TSMC ESG Policy serves as the foremost guiding principle for our sustainable development. The ESG Matrix set by TSMC's Founder, Dr. Morris Chang clearly defines TSMC's ESG
scope. Through its ESG Implementation Framework, TSMC effectively carries out sustainability governance in its core business of dedicated IC foundry services. TSMC actively develops positive relationships with all
stakeholders including employees, shareholders/investors, customers, suppliers/contractors, and society to create value through common good.
Values
Governance Directions Roles Abilities Stakeholders
Created
治理 方向 角色 能力
Drive Green An Innovation Innovation
Employees Ethics
Manufacturing Pioneer Research
Management
Vision Shareholders Legal Compliance
Build a Customer Investors
Uplift Society A Responsible
Responsible Relations
ESG Steering Purchaser
Supply Chain
Committee Business
Standards
Supply Chain Customers
Board of Management
Create a Diverse
Directors A Practitioner of
and Inclusive
Green Power Economic Growth
Nominating, Workplace
Corporate Environmental Suppliers
Governance and Management Contractors
Sustainability Environmental
Committee Protection
Missions An Admired
Develop Talent
Employer Government
Acting with Integrity Human Resource
Industry
Management
Strengthening Associations Balanced Life
Environmental
Protection ESG Committee
Care for the Power to Change
Caring for the Stakeholder
Disadvantaged Society Society
Disadvantaged Engagement Common Good",implementation framework uplift society vision policy serve foremost guide principle sustainable development matrix set founder morris chang define scope implementation framework carry governance core dedicated foundry service develop positive relationship stakeholder employee shareholder investor customer supplier contractor society create common good governance direction role ability stakeholder create drive green innovation innovation employee ethic manufacture pioneer research management vision shareholder legal compliance build customer investor uplift society responsible responsible relation steer purchaser supply chain committee standard supply chain customer board management create diverse director practitioner inclusive green power economic growth nominating workplace corporate environmental supplier governance management contractor environmental committee protection mission admire develop talent employer government act integrity human resource industry management strengthen association balance life environmental protection committee care power change care stakeholder disadvantaged society society disadvantaged engagement common good,governance,people_centric,unclassified,0.0,governance_risk,0.4444
